,__EVENTCASE__,__NOTIFICATION__death_period,__NOTIFICATION__distinct_payload_app_id,__NOTIFICATION__distinct_payload_notification_id,__NOTIFICATION__distinct_payload_notification_type_id,__NOTIFICATION__distinct_payload_pmac_batch_id,__NOTIFICATION__distinct_payload_pmac_campaign_id,__NOTIFICATION__distinct_payload_pmac_request_id,__NOTIFICATION__distinct_payload_profile_id,__NOTIFICATION__entropy_for_hours_of_day,__NOTIFICATION__event_type_sent,__NOTIFICATION__hours_of_day_0,__NOTIFICATION__hours_of_day_1,__NOTIFICATION__hours_of_day_10,__NOTIFICATION__hours_of_day_11,__NOTIFICATION__hours_of_day_12,__NOTIFICATION__hours_of_day_13,__NOTIFICATION__hours_of_day_14,__NOTIFICATION__hours_of_day_15,__NOTIFICATION__hours_of_day_16,__NOTIFICATION__hours_of_day_17,__NOTIFICATION__hours_of_day_18,__NOTIFICATION__hours_of_day_19,__NOTIFICATION__hours_of_day_2,__NOTIFICATION__hours_of_day_20,__NOTIFICATION__hours_of_day_21,__NOTIFICATION__hours_of_day_22,__NOTIFICATION__hours_of_day_23,__NOTIFICATION__hours_of_day_3,__NOTIFICATION__hours_of_day_4,__NOTIFICATION__hours_of_day_5,__NOTIFICATION__hours_of_day_6,__NOTIFICATION__hours_of_day_7,__NOTIFICATION__hours_of_day_8,__NOTIFICATION__hours_of_day_9,__NOTIFICATION__live_period,__NOTIFICATION__locale,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_ARP_SPOOFING_FOUND,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_BOX_CONNECTED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_BOX_DISCONNECTED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_CONNECTED_AT_HOME,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_CONTINUE_BROWSING_REQ,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_DEFAULT_PASSWORD,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_DIAMOND_APP_INSTALLED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_GENERIC,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_IDENTIFY,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_INAPPROPRIATE_APP,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_ATTACK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_CONTROL,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NETWORK_CONTROL_BLOCK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_DEVICE_JOINED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_DEVICE_JOINED_ROUTER,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_IN_CLIENT_VERSION,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_NEW_PATTERN_UPDATE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_RANSOMWARE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_RENEW_SUCCESS,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_UNABLE_TO_CONTINUE,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING_BLOCK,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEBSITES_FILTERING_DENIED,__NOTIFICATION__payload_notification_id_PUSH_NOTIFICATION_WEB_THREATS,__NOTIFICATION__rate,__NOTIFICATION__station_final_status,__NOTIFICATION__total_event,__STATIONID__
394,5F3C-ECFB-724A-83BB-23EB_2017-08-30 06:07:10,1458.0,1,5,5,1,1,1,1,1.8159832459531595,57,1,0,9,6,2,0,0,2,0,1,0,0,4,2,0,1,3,2,3,2,1,8,8,2,2574292.0,0,0,9,8,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,32,0.9994339512763272,1,57,5F3C-ECFB-724A-83BB-23EB
395,48DB-CB23-FCDD-4699-8EE7_2017-10-12 07:34:20,4192.0,1,6,5,1,1,1,1,0.9743147528693494,15,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2937924.0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,6,0.9985751751460512,1,15,48DB-CB23-FCDD-4699-8EE7
396,5AED-F334-B4E2-9354-C823_2017-10-27 18:14:31,12273.0,1,8,8,3,3,3,1,1.6439049523438864,45,0,1,2,2,3,1,0,0,0,0,2,0,2,0,1,1,13,1,1,2,0,4,4,5,12045157.0,0,0,1,3,0,0,0,0,2,0,0,28,0,0,6,0,0,1,0,1,0,0,0,0,3,0.998982121397346,1,45,5AED-F334-B4E2-9354-C823
398,738D-E377-DE54-D458-6677_2017-07-26 03:02:53,193461.0,1,7,7,1,1,1,1,2.5208669088444733,196,4,5,19,20,13,1,0,1,0,0,0,2,8,3,3,4,5,7,4,6,6,20,36,29,4300500.0,0,0,0,8,82,0,0,0,0,0,74,1,0,0,11,0,0,0,0,0,0,8,0,0,12,0.9569508947674444,1,196,738D-E377-DE54-D458-6677
399,D84E-FD79-9F67-4379-97CA_2017-09-08 23:21:16,372049.0,1,5,5,1,1,1,1,0.9365995187176586,12,0,0,0,1,1,1,0,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,4353937.0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,5,0.921275898828308,1,12,D84E-FD79-9F67-4379-97CA
403,2F7C-A55B-9344-2692-4D78_2017-06-14 15:21:07,1568.0,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4172975.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996243900230516,1,1,2F7C-A55B-9344-2692-4D78
406,3F65-75B6-B94A-3875-F75E_2017-09-18 03:16:45,2229.0,1,1,1,1,1,1,1,0.623848004006291,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,1303137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.9982924329268572,1,8,3F65-75B6-B94A-3875-F75E
407,AA5F-4985-BE34-A9D9-2445_2017-04-07 06:15:53,86976.0,1,2,2,1,1,1,1,0.4505612088663046,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,4064246.0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.9790480971627149,0,4,AA5F-4985-BE34-A9D9-2445
408,BDC4-3A4C-2C4F-348C-485F_2017-07-17 03:42:29,1437.0,1,3,3,1,1,1,1,2.0453565797937743,78,4,5,1,3,2,0,0,3,0,0,1,0,6,6,5,9,14,5,5,1,1,1,2,4,4814307.0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0.9997016037397336,1,78,BDC4-3A4C-2C4F-348C-485F
409,787A-E5B8-A984-B5A9-5B5F_2017-08-07 10:59:26,4582.0,1,8,8,1,1,1,1,1.834234228426904,62,0,1,12,2,2,1,0,0,0,1,0,0,13,1,0,0,2,2,0,6,4,4,8,3,1154734.0,0,0,1,4,38,0,0,0,0,0,3,1,0,7,4,0,0,0,0,0,0,0,0,0,4,0.9960476694878704,1,62,787A-E5B8-A984-B5A9-5B5F
410,79FB-5CFE-9747-6794-DCA5_2017-04-16 05:39:46,6223.0,2,4,4,1,1,1,1,0.5660857389596289,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,3129705.0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.9980155794393238,0,6,79FB-5CFE-9747-6794-DCA5
411,9F85-68E5-2D43-EEBC-D393_2017-08-16 23:44:21,21854.0,1,8,8,1,1,1,1,2.513223155920567,182,0,0,7,14,9,25,5,15,7,6,10,4,17,4,1,0,4,9,9,5,10,3,10,8,2733521.0,0,0,3,5,86,0,0,0,0,0,1,0,0,76,6,0,0,0,0,0,0,0,2,0,3,0.9920685932041918,1,182,9F85-68E5-2D43-EEBC-D393
412,C5B4-45C8-74E4-353B-54E7_2017-08-28 06:20:38,1925062.0,2,6,6,1,1,1,1,2.4554608908739044,576,6,4,34,34,50,40,8,8,4,10,6,2,10,6,48,4,16,46,32,32,34,32,62,48,2796527.0,0,0,8,20,284,0,0,0,0,0,258,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0.592285139600249,1,576,C5B4-45C8-74E4-353B-54E7
413,9532-97A3-D842-2EAB-2FBD_2017-09-18 07:33:41,3149.0,1,5,5,1,1,1,1,1.3398061212627634,29,2,2,2,1,0,0,0,0,0,0,0,1,1,1,0,3,2,1,0,1,3,3,3,3,17918792.0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,7,0.9998242935851648,1,29,9532-97A3-D842-2EAB-2FBD
414,8F8C-662B-D965-487A-CB65_2017-05-04 00:48:34,92063.0,1,4,4,1,1,1,1,1.628194401798264,46,1,0,5,6,3,8,0,0,0,0,0,0,0,0,1,0,0,8,1,1,2,1,4,5,1608682.0,0,0,0,1,36,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0.9458690162252424,1,46,8F8C-662B-D965-487A-CB65
415,E8F5-BE46-FE83-42CF-ABE4_2017-06-07 02:14:25,2348.0,1,4,4,1,1,1,1,1.2455418912686116,24,0,2,0,0,7,1,1,0,0,0,0,0,5,0,0,0,0,3,2,0,1,1,1,0,1556807.0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0.998494056075246,1,24,E8F5-BE46-FE83-42CF-ABE4
416,ADB5-C2AA-6B48-8875-EB46_2017-08-05 00:43:15,2198.0,3,5,5,1,1,1,1,2.02932302955708,206,6,3,0,12,0,3,0,9,0,0,0,3,9,21,24,21,9,21,12,6,15,12,8,12,4297617.0,0,0,3,24,0,0,0,3,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,126,0.9994888152164686,1,206,ADB5-C2AA-6B48-8875-EB46
418,5A69-AD3F-69B4-E48A-929D_2017-07-28 07:59:37,52788.0,1,1,1,1,1,1,1,0.3445982481028228,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,821912.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9396501657711216,0,3,5A69-AD3F-69B4-E48A-929D
419,DF3B-B96E-A3B4-BAA5-F744_2017-06-19 23:45:37,8305.0,2,5,5,1,1,1,1,1.4912116616633762,33,0,1,2,4,2,1,0,0,0,0,1,2,1,0,0,3,4,1,1,0,2,3,4,1,9221645.0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,8,0,1,0,0,0,0,0,0,0,12,0.9991002118104648,1,33,DF3B-B96E-A3B4-BAA5-F744
420,753A-9DA6-8C37-43B3-A6D5_2017-07-27 06:29:33,1739606.0,1,2,2,1,1,1,1,0.4505612088663046,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,768179.0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3063177265993696,1,4,753A-9DA6-8C37-43B3-A6D5
421,F33C-595D-DF42-4387-8768_2017-04-25 21:29:16,58896.0,1,5,4,1,1,1,1,1.7234692233807378,52,1,0,2,1,7,5,3,1,0,0,0,0,2,2,2,2,6,2,2,2,3,1,3,5,2621921.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,39,6,0,0,0.9780305779917092,0,52,F33C-595D-DF42-4387-8768
422,B24A-2D66-2F42-57B3-4DFF_2017-10-25 06:27:18,6836.0,2,5,5,1,1,1,1,0.5442837329694393,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,2,683379.0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0.9900958397021218,0,12,B24A-2D66-2F42-57B3-4DFF
423,C62F-E25F-2645-4558-F675_2017-10-10 04:03:59,6484.0,1,2,2,1,1,1,1,0.3767701612564368,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2248069.0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9971240418832468,1,3,C62F-E25F-2645-4558-F675
424,2787-85BF-B594-69B9-5D9E_2017-05-02 23:30:11,26477.0,1,2,2,1,1,1,1,0.7232545110011122,9,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,770791.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.9667903390077114,1,9,2787-85BF-B594-69B9-5D9E
425,F29A-23FA-7646-52B2-FB4A_2017-07-06 14:27:18,58555.0,1,3,3,1,1,1,1,0.8675632284814612,12,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,4756646.0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0.9878395522845256,1,12,F29A-23FA-7646-52B2-FB4A
426,9344-3D36-2546-E8A7-6CF2_2017-09-28 23:53:56,445603.0,1,5,5,1,1,1,1,1.055008276687731,18,0,0,2,0,0,0,0,0,0,0,5,1,0,4,2,0,2,0,0,0,1,0,1,0,192353.0,0,0,3,2,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.3015145245126623,0,18,9344-3D36-2546-E8A7-6CF2
427,8EE4-B352-DB44-628E-ADFE_2017-06-22 07:47:15,532401.0,1,7,7,1,1,1,1,1.7328679513998633,48,0,0,3,4,4,11,1,0,1,0,0,0,1,0,0,3,0,2,1,1,2,5,8,1,248617.0,0,3,0,1,25,0,0,0,0,0,10,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0.318324289581034,1,48,8EE4-B352-DB44-628E-ADFE
428,EFE6-F9C9-D684-29AB-E5DB_2017-04-29 01:38:09,36683.0,1,2,2,1,1,1,1,0.2868359830561607,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2546912.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9858015671960968,1,2,EFE6-F9C9-D684-29AB-E5DB
429,ADFD-9FD9-6246-7944-A6E8_2017-06-01 21:34:50,3406.0,1,8,6,1,1,1,1,2.3257781077142967,154,0,0,25,6,22,5,10,9,4,6,5,9,0,6,10,3,1,2,0,8,6,2,5,10,1921915.0,0,0,0,22,0,0,1,0,0,0,0,0,55,47,14,1,0,0,0,0,0,2,0,0,12,0.9982309443464232,1,154,ADFD-9FD9-6246-7944-A6E8
430,C72D-624E-6A84-C9B8-ACA4_2017-10-24 01:16:21,7463.0,1,5,5,1,1,1,1,1.1988493129136208,22,3,3,0,2,1,0,3,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,3,1,1029321.0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,8,0,0,0,2,0,0,0,0,0,7,0.9928017793484468,0,22,C72D-624E-6A84-C9B8-ACA4
431,6D99-4734-9484-445A-4446_2017-04-12 11:13:18,52153.0,1,1,1,1,1,1,1,0.2868359830561607,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8388505.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9938212163080176,1,2,6D99-4734-9484-445A-4446
432,24CD-89D6-8F43-E2BD-9D6E_2017-07-29 11:07:34,8859146.0,1,8,7,1,1,1,1,2.7301139630409317,397,9,9,13,26,37,37,44,21,20,11,5,8,5,6,18,14,17,9,42,11,11,10,7,7,2333188.0,1,0,0,10,96,0,0,0,0,0,220,3,0,0,8,0,0,0,0,0,0,47,1,0,12,0.20846304265044271,0,397,24CD-89D6-8F43-E2BD-9D6E
433,C8A6-F38D-7488-47F9-8DC5_2017-06-14 21:54:55,12708305.0,2,9,8,1,1,1,1,2.6581934449279867,928,2,2,40,50,34,138,150,8,8,6,4,6,0,2,4,0,2,30,26,126,30,74,106,80,10751431.0,0,0,0,4,606,0,0,0,0,0,0,2,160,140,4,0,2,0,0,0,0,0,4,0,6,0.4582929236714343,0,928,C8A6-F38D-7488-47F9-8DC5
434,ED72-FED6-8399-4BF9-9CB9_2017-04-21 20:39:45,1914.0,1,4,4,1,1,1,1,2.0842010667269943,85,3,2,2,3,5,9,0,3,0,0,0,0,3,3,6,2,1,9,4,3,1,12,10,4,1433278.0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0.99866638052609,1,85,ED72-FED6-8399-4BF9-9CB9
435,8BD7-6674-BA44-CE89-AE4F_2017-11-03 00:06:39,40883.0,1,7,7,2,2,2,1,1.8749540125305348,58,3,3,4,0,4,1,0,1,0,2,1,1,0,3,2,2,1,5,2,4,6,5,3,5,10951497.0,0,0,2,2,0,0,0,0,1,0,0,33,0,0,12,0,0,1,0,0,0,0,0,0,7,0.9962807872362492,1,58,8BD7-6674-BA44-CE89-AE4F
436,D472-D57C-8D9D-493B-9452_2017-10-03 18:28:10,3260.0,1,3,3,1,1,1,1,0.9798203223053886,17,0,3,2,2,0,0,2,0,0,0,2,0,0,0,0,0,2,1,0,2,0,1,0,0,2813148.0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9988424972518186,1,17,D472-D57C-8D9D-493B-9452
438,42F9-5A9E-35D5-4AE5-B9DB_2017-11-08 04:45:25,6950.0,2,6,6,2,2,2,1,1.4325197146595603,58,0,4,4,4,4,6,6,8,0,0,0,0,2,2,0,0,2,0,0,0,2,4,8,2,675825.0,0,0,24,22,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,6,0.9898209512650579,1,58,42F9-5A9E-35D5-4AE5-B9DB
439,4FC7-3ACF-C844-44B7-BC78_2017-09-05 23:53:49,373343.0,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,441476.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5418086716190957,0,1,4FC7-3ACF-C844-44B7-BC78
440,5F94-2B3F-7B44-A4B9-4D43_2017-11-05 02:59:15,10357.0,1,12,9,2,2,2,1,2.809678234077784,401,18,15,27,34,33,27,7,4,1,0,0,0,16,4,7,13,37,17,21,23,25,18,30,24,4312502.0,0,0,1,0,0,0,0,0,1,0,216,4,24,68,3,0,0,1,0,0,0,12,50,18,3,0.9976041318951184,1,401,5F94-2B3F-7B44-A4B9-4D43
441,53B2-3BEB-9949-A88C-F58B_2017-10-26 15:23:16,10104.0,2,6,6,1,1,1,1,1.0722550961286252,36,0,2,0,10,4,0,0,0,0,0,0,0,0,4,0,0,0,2,4,4,2,2,0,2,1683846.0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,2,0,0,2,2,0,0,0,0,0,14,0.9940352430709288,1,36,53B2-3BEB-9949-A88C-F58B
442,F877-3F7D-3443-2397-BA54_2017-08-07 03:55:27,2377.0,1,4,4,1,1,1,1,0.8151862107956462,10,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,2,2601524.0,0,0,1,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9990871388735594,1,10,F877-3F7D-3443-2397-BA54
443,4838-E7A7-6767-45C5-824A_2017-10-10 00:26:23,166226.0,1,5,5,1,1,1,1,0.9002560512685369,12,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,1,5507056.0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0.9707002049254736,1,12,4838-E7A7-6767-45C5-824A
444,C7D3-F69F-E734-4B4B-FC26_2017-09-24 16:00:50,311008.0,1,6,6,1,1,1,1,1.9828347896999532,65,2,5,1,2,3,1,0,2,8,6,4,4,1,9,4,3,2,0,2,0,3,1,1,1,2402553.0,0,4,22,21,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,13,0.8853875037266529,1,65,C7D3-F69F-E734-4B4B-FC26
445,6242-BBDA-C247-8EBB-E48C_2017-05-16 20:56:53,8142.0,1,4,4,1,1,1,1,1.0722550961286252,16,0,2,0,0,0,1,2,1,0,1,0,0,2,1,1,0,0,3,2,0,0,0,0,0,3537956.0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0.9977039551642396,1,16,6242-BBDA-C247-8EBB-E48C
446,2F37-3E24-8FA4-6D49-A843_2017-10-12 11:06:34,13771.0,1,3,3,1,1,1,1,0.6519508373776711,8,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1967302.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.993048716528871,1,8,2F37-3E24-8FA4-6D49-A843
447,9CF6-43BC-6824-7C8A-F8E3_2017-11-08 22:04:28,6932.0,1,8,8,2,2,2,1,1.7912970120862215,51,0,1,2,3,1,0,0,1,0,0,0,4,3,2,2,0,4,4,5,4,2,5,6,2,7108084.0,0,0,5,4,0,0,3,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,34,0.999025722500132,0,51,9CF6-43BC-6824-7C8A-F8E3
448,D46B-8A5F-78A4-55CA-BB4D_2017-08-06 09:14:38,1805.0,4,4,4,1,1,1,1,1.5242876928431008,128,16,12,8,12,4,4,0,0,4,0,4,0,8,0,8,0,0,4,8,8,4,4,0,20,9756898.0,0,0,0,44,0,0,0,0,0,0,0,4,0,0,48,0,0,0,0,0,0,0,0,0,32,0.9998150368957842,1,128,D46B-8A5F-78A4-55CA-BB4D
449,E954-CFEC-B3A4-4532-B2E2_2017-10-29 13:37:15,1989.0,1,4,4,2,2,2,1,0.9401453181214776,20,0,0,1,0,1,9,5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1470668.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,5,0.9986493799981936,1,20,E954-CFEC-B3A4-4532-B2E2
451,9C5C-B556-4A49-2282-5F22_2017-06-10 06:10:49,1819.0,1,5,5,1,1,1,1,1.1187433359857524,26,2,0,1,1,0,0,0,0,0,0,0,0,0,7,1,1,2,0,0,0,2,0,2,7,1118555.0,0,0,0,20,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0.99837643501188,1,26,9C5C-B556-4A49-2282-5F22
452,723E-39E4-C384-FD9E-36B8_2017-07-21 00:00:50,4715.0,1,5,5,1,1,1,1,1.6068154405058843,56,3,2,5,4,4,4,0,4,0,0,0,0,5,0,0,0,2,6,5,0,3,2,4,3,10095973.0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,47,0.9995332001146852,1,56,723E-39E4-C384-FD9E-36B8
453,4A25-CB25-4354-BCAC-46E8_2017-09-15 23:00:50,12105.0,1,4,4,1,1,1,1,2.021679276633173,113,1,1,22,19,11,9,1,2,0,0,0,0,0,0,0,0,0,10,4,2,3,2,10,16,2661088.0,0,0,1,0,105,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9954717074300284,1,113,4A25-CB25-4354-BCAC-46E8
454,AA98-AF2B-A974-6238-3757_2017-09-13 03:53:37,14762.0,3,4,4,1,1,1,1,1.405212139233332,96,9,9,0,0,0,0,0,0,0,6,0,0,12,0,0,0,3,6,6,6,9,21,3,6,1370789.0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,3,0.9893457548657538,1,96,AA98-AF2B-A974-6238-3757
456,6CB5-655D-C884-8338-6CA2_2017-10-03 01:56:40,71190.0,1,10,9,1,1,1,1,2.243329608800697,134,3,4,14,7,10,3,4,2,4,1,3,4,5,8,4,2,2,7,2,6,8,14,6,11,1018029.0,0,0,3,2,46,0,0,0,0,1,43,0,1,32,1,0,0,0,0,0,0,0,1,0,4,0.9346412429456336,0,134,6CB5-655D-C884-8338-6CA2
457,676B-DBD9-CEE4-B483-6762_2017-05-07 08:18:43,2498.0,2,4,4,1,1,1,1,0.5442837329694393,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,2,0,6316806.0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.9996047033027688,1,10,676B-DBD9-CEE4-B483-6762
460,FAC9-9B57-5274-9492-9FD9_2017-06-20 12:36:21,9358.0,1,4,4,1,1,1,1,1.3474498741866698,27,0,1,3,2,4,2,1,0,0,0,0,0,0,0,1,0,0,3,0,2,4,0,2,2,1554735.0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,10,0.9940169798087454,1,27,FAC9-9B57-5274-9492-9FD9
461,3867-D656-948F-483A-FC25_2017-10-08 23:41:42,2679498.0,1,6,5,1,1,1,1,2.207369349744225,94,2,7,12,3,1,3,2,1,1,0,1,1,8,2,3,2,3,4,6,7,6,5,5,9,803803.0,0,0,1,0,24,0,0,0,0,0,56,0,0,9,0,0,0,0,0,0,0,1,0,3,0,0.2307589840786082,0,94,3867-D656-948F-483A-FC25
463,7A37-C733-6644-3FCB-525B_2017-06-30 22:47:20,620726.0,2,4,4,1,1,1,1,0.8151862107956462,20,0,0,2,0,2,2,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,4,0,0,293924.0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,12,0.3213513365768327,1,20,7A37-C733-6644-3FCB-525B
466,66EB-82E9-AA74-3EA9-F94C_2017-06-03 11:42:36,691482.0,1,4,4,1,1,1,1,1.3767266534724052,27,0,0,0,3,3,5,4,0,0,1,0,0,0,0,1,2,0,2,3,1,0,2,0,0,4488051.0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,6,0.8664972305418268,0,27,66EB-82E9-AA74-3EA9-F94C
467,D886-8B4F-F384-9A58-F4E4_2017-04-18 03:05:29,2809.0,6,9,9,1,1,1,1,1.5936174605927709,107,4,15,4,0,0,3,0,0,0,0,0,0,10,0,0,0,0,8,4,23,0,5,10,21,2909836.0,0,0,0,2,30,6,0,11,0,0,8,6,0,9,0,0,0,0,0,0,0,0,6,0,29,0.9990355844945058,1,107,D886-8B4F-F384-9A58-F4E4
469,2F7C-A55B-9344-2692-4D78_2017-09-28 20:56:37,39813.0,1,5,5,1,1,1,1,1.1967111294257538,20,5,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,0,3,2,4,0,9176962.0,0,0,4,4,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,7,0.9956803762704416,1,20,2F7C-A55B-9344-2692-4D78
