,__EVENTCASE__,__SECURITYWARNING__death_period,__SECURITYWARNING__distinct_payload_cat_id,__SECURITYWARNING__distinct_payload_device_id,__SECURITYWARNING__distinct_payload_dip,__SECURITYWARNING__distinct_payload_dport,__SECURITYWARNING__distinct_payload_profile_id,__SECURITYWARNING__distinct_payload_rule_category,__SECURITYWARNING__distinct_payload_rule_severity,__SECURITYWARNING__distinct_payload_sip,__SECURITYWARNING__distinct_payload_url,__SECURITYWARNING__entropy_for_hours_of_day,__SECURITYWARNING__event_type_network_attack_prevented,__SECURITYWARNING__event_type_weak_password_detected,__SECURITYWARNING__event_type_web_threat_blocked,__SECURITYWARNING__hours_of_day_0,__SECURITYWARNING__hours_of_day_1,__SECURITYWARNING__hours_of_day_10,__SECURITYWARNING__hours_of_day_11,__SECURITYWARNING__hours_of_day_12,__SECURITYWARNING__hours_of_day_13,__SECURITYWARNING__hours_of_day_14,__SECURITYWARNING__hours_of_day_15,__SECURITYWARNING__hours_of_day_16,__SECURITYWARNING__hours_of_day_17,__SECURITYWARNING__hours_of_day_18,__SECURITYWARNING__hours_of_day_19,__SECURITYWARNING__hours_of_day_2,__SECURITYWARNING__hours_of_day_20,__SECURITYWARNING__hours_of_day_21,__SECURITYWARNING__hours_of_day_22,__SECURITYWARNING__hours_of_day_23,__SECURITYWARNING__hours_of_day_3,__SECURITYWARNING__hours_of_day_4,__SECURITYWARNING__hours_of_day_5,__SECURITYWARNING__hours_of_day_6,__SECURITYWARNING__hours_of_day_7,__SECURITYWARNING__hours_of_day_8,__SECURITYWARNING__hours_of_day_9,__SECURITYWARNING__live_period,__SECURITYWARNING__locale,__SECURITYWARNING__payload_rule_category_Access Control,__SECURITYWARNING__payload_rule_category_Backdoor/Trojan,__SECURITYWARNING__payload_rule_category_Buffer Overflow,__SECURITYWARNING__payload_rule_category_DoS/DDoS,__SECURITYWARNING__payload_rule_category_Misc,__SECURITYWARNING__payload_rule_category_Scan,__SECURITYWARNING__payload_rule_category_Virus/Worm,__SECURITYWARNING__payload_rule_category_Web Attack,__SECURITYWARNING__rate,__SECURITYWARNING__station_final_status,__SECURITYWARNING__total_event,__STATIONID__
426,2DFF-8975-9F54-EB9A-6459_2017-11-05 05:14:18,1365.0,3,4,4,2,1,2,2,2,6,0.8151862107956462,3,0,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3428636.0,0,0,0,3,0,0,0,0,0,0.9996020409323496,1,10,2DFF-8975-9F54-EB9A-6459
427,8575-324A-6C3C-4BF5-845F_2017-09-16 05:26:17,5455.0,2,2,2,2,1,2,2,3,2,0.5660857389596289,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1410836.0,0,0,0,0,0,0,0,0,4,0.9961483904084684,1,6,8575-324A-6C3C-4BF5-845F
428,D49D-6E2B-AB42-4283-9CDF_2017-09-03 05:26:13,10497.0,1,1,1,1,1,1,1,1,1,0.5140966973399506,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,3671613.0,0,12,0,0,0,0,0,0,0,0.9971491889161378,1,12,D49D-6E2B-AB42-4283-9CDF
429,4C66-4CFE-DC42-9DAC-27C3_2017-10-16 08:41:32,1571616.0,5,5,4,3,1,3,3,3,5,1.0556698482148017,3,1,31,2,0,0,0,18,0,5,0,0,0,0,0,2,0,6,0,1,0,1,0,0,0,0,0,2461782.0,0,0,0,0,2,0,0,0,1,0.6103493877866751,1,35,4C66-4CFE-DC42-9DAC-27C3
430,34EF-8BED-6EE4-ABA8-B5E2_2017-09-10 10:24:57,5784.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1197610.0,0,0,0,1,0,0,0,0,0,0.9951935941179696,1,1,34EF-8BED-6EE4-ABA8-B5E2
431,2369-7535-8DD3-4688-77E2_2017-10-13 03:01:48,2321892.0,1,1,1,1,2,1,1,1,1,0.2868359830561607,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,663033.0,1,0,0,0,0,0,0,0,0,0.2221271891253549,0,2,2369-7535-8DD3-4688-77E2
432,DC48-9C72-C54D-37B9-7C6B_2017-05-26 21:32:46,1110.0,1,4,1,1,1,1,1,1,2,1.0722550961286252,0,0,17,0,0,0,2,0,1,0,1,1,1,0,0,2,2,4,2,0,1,0,0,0,0,0,0,5220781.0,0,0,0,0,0,0,0,0,0,0.9997874333263564,1,17,DC48-9C72-C54D-37B9-7C6B
433,F69A-E8B6-F254-33F8-F798_2017-10-24 01:14:19,1171.0,6,1,2,3,1,3,3,3,8,1.0533373180151842,6,0,15,0,0,3,3,0,1,3,0,0,0,0,0,0,0,1,1,0,0,1,6,0,1,0,1,2215243.0,0,0,0,5,0,0,0,0,1,0.9994716691015306,1,21,F69A-E8B6-F254-33F8-F798
434,4CDE-8CD6-4684-548D-EA3A_2017-10-31 23:10:41,2777.0,4,4,4,2,1,3,3,5,4,0.6749754468353846,5,0,3,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7120681.0,0,2,0,0,0,0,0,0,3,0.9996101612447214,1,8,4CDE-8CD6-4684-548D-EA3A
436,BA7D-DEBF-77F6-4BE7-B268_2017-10-01 15:53:20,3382.0,3,8,2,3,1,2,2,3,10,1.2920301311257385,9,0,26,1,0,15,3,6,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,1,3,0,1858727.0,0,0,0,9,0,0,0,0,0,0.9981837797894751,1,35,BA7D-DEBF-77F6-4BE7-B268
437,78A5-3E5C-943B-44AD-BE33_2017-05-15 10:47:38,34755.0,1,3,1,1,1,1,1,1,3,0.3767701612564368,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1470082.0,0,0,0,0,0,0,0,0,0,0.9769044753684286,1,3,78A5-3E5C-943B-44AD-BE33
439,83C4-DB39-F9FA-4ACB-AA34_2017-05-06 05:32:01,1039.0,4,3,2,1,1,2,2,2,5,1.987594314747112,2,0,107,11,7,13,2,0,0,0,0,0,0,0,0,4,0,0,7,10,10,2,9,3,14,6,11,690174.0,0,2,0,0,0,0,0,0,0,0.9984968454007664,1,109,83C4-DB39-F9FA-4ACB-AA34
441,847A-88EC-5934-BDAE-775D_2017-08-08 09:12:11,4021.0,5,3,3,1,1,3,2,3,4,0.6816102690529532,7,0,5,0,0,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,3488534.0,0,0,0,1,0,0,0,0,6,0.9988486938645204,1,12,847A-88EC-5934-BDAE-775D
442,99D5-6D8F-3F34-D5CB-4A46_2017-07-07 11:43:10,2314510.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3381057.0,0,0,0,0,0,0,0,0,0,0.5936295719109265,0,1,99D5-6D8F-3F34-D5CB-4A46
443,C56F-3C74-544E-79BE-C377_2017-08-11 14:00:04,135395.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555925.0,0,0,0,1,0,0,0,0,0,0.8041500318231789,1,1,C56F-3C74-544E-79BE-C377
445,A94A-7C49-C94C-6E9E-F282_2017-10-16 01:17:56,2029.0,6,6,2,3,1,2,2,2,7,0.9979075831681395,1,0,16,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,3,0,1476408.0,0,0,0,1,0,0,0,0,0,0.9986276046933348,1,17,A94A-7C49-C94C-6E9E-F282
446,B983-6C62-47C4-943A-7559_2017-05-17 15:16:25,4397.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720632.0,0,0,0,0,0,0,0,0,0,0.9939354149971932,0,1,B983-6C62-47C4-943A-7559
447,4236-F267-E647-8C33-3BE4_2017-06-14 15:20:44,1233.0,4,7,2,1,1,2,2,2,14,1.258317895502333,1,0,22,1,0,3,5,0,0,0,0,0,0,0,0,1,0,3,2,1,1,0,0,2,0,1,3,9010464.0,0,0,0,0,0,0,0,0,1,0.9998631778232224,1,23,4236-F267-E647-8C33-3BE4
448,AD83-9D2A-DF94-AD88-4A64_2017-05-15 10:31:32,1429.0,3,4,1,1,1,1,1,1,5,1.8749540125305348,0,0,83,3,1,1,7,6,9,3,5,4,4,5,4,0,4,3,4,1,1,0,1,5,3,5,4,1758163.0,0,0,0,0,0,0,0,0,0,0.9991878799176171,1,83,AD83-9D2A-DF94-AD88-4A64
449,33B2-4A4E-AE42-B794-E9C2_2017-05-26 19:31:05,3567.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12226588.0,0,0,0,0,0,0,0,0,2,0.9997083438435572,1,2,33B2-4A4E-AE42-B794-E9C2
450,9DEA-BEE6-E427-9BF6-7AE6_2017-10-01 15:53:02,4067.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8350196.0,0,1,0,0,0,0,0,0,0,0.9995131826709309,1,1,9DEA-BEE6-E427-9BF6-7AE6
451,3C3A-ED44-2584-95A9-FD38_2017-11-02 12:04:08,553993.0,9,7,5,3,1,3,3,5,10,1.5707759327002278,6,1,27,3,3,5,0,2,1,1,0,2,4,1,0,1,0,1,4,2,2,0,0,0,0,1,1,3711390.0,0,4,0,0,0,0,0,0,2,0.8701188146527522,1,34,3C3A-ED44-2584-95A9-FD38
453,F343-F374-8C24-AC96-D8C4_2017-10-24 09:58:47,1160.0,4,6,3,3,1,3,3,5,4,0.6159905783211985,4,0,3,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,894708.0,0,1,0,3,0,0,0,0,0,0.9987051663861194,1,7,F343-F374-8C24-AC96-D8C4
454,D2F9-BB2F-9243-9EAB-2F3F_2017-11-03 16:05:27,15895.0,2,9,2,2,1,2,2,13,2,0.8947504818324978,29,0,4,0,0,1,0,0,0,0,7,0,5,0,0,0,0,0,0,0,12,1,7,0,0,0,0,842652.0,0,0,0,29,0,0,0,0,0,0.9814861620854771,1,33,D2F9-BB2F-9243-9EAB-2F3F
455,D3BA-A5DD-44D6-4D83-4F86_2017-08-29 04:27:01,28742.0,2,1,2,2,1,2,2,5,2,1.628194401798264,7,0,37,4,9,0,3,8,1,0,0,0,1,0,0,0,2,0,0,0,0,5,1,5,3,1,1,1121527.0,0,0,0,7,0,0,0,0,0,0.9750128013534224,0,44,D3BA-A5DD-44D6-4D83-4F86
458,557B-4ABA-ABB4-5FAA-B698_2017-09-25 09:44:06,1025.0,12,5,3,2,1,4,3,27,9,1.8054552651525049,57,0,11,1,2,5,3,5,1,0,2,2,0,1,1,3,3,2,2,0,1,7,1,1,13,5,7,12613043.0,0,3,0,44,0,0,0,0,10,0.9999187415193892,1,68,557B-4ABA-ABB4-5FAA-B698
459,A2BD-3CBD-8BF4-26B9-2F9F_2017-06-27 09:25:56,180412.0,3,6,1,1,1,1,1,1,8,1.0132843295512497,0,0,21,1,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,10,0,2,1,1684041.0,0,0,0,0,0,0,0,0,0,0.9032359625048204,1,21,A2BD-3CBD-8BF4-26B9-2F9F
460,F877-3F7D-3443-2397-BA54_2017-07-08 00:59:53,1010.0,6,5,5,1,1,4,3,6,5,1.2904336535288885,16,0,10,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,5,1,3,0,0,7437925.0,0,0,0,1,0,5,0,0,10,0.9998642278767056,1,26,F877-3F7D-3443-2397-BA54
461,CBFF-2C3F-5EE4-5429-B6A2_2017-08-21 14:24:58,3151.0,1,1,1,1,1,1,1,2,1,0.2868359830561607,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,832675.0,0,0,0,0,0,0,0,0,2,0.9962300765948894,1,2,CBFF-2C3F-5EE4-5429-B6A2
462,654E-A95F-43E6-A323-E3F9_2017-10-24 09:05:51,3603.0,4,3,1,2,1,1,1,1,6,0.6159905783211985,0,0,7,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5982051.0,0,0,0,0,0,0,0,0,0,0.999398060763285,1,7,654E-A95F-43E6-A323-E3F9
463,E2D3-665B-4443-F85A-D8D7_2017-07-02 03:19:20,3209.0,3,3,1,1,1,1,1,1,5,0.8947504818324978,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,5,3,2259843.0,0,0,0,0,0,0,0,0,0,0.9985820034183924,1,15,E2D3-665B-4443-F85A-D8D7
464,E896-DED7-CBF4-94A8-9E76_2017-08-10 17:27:04,21960.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10766707.0,0,0,0,0,0,0,0,0,0,0.9979645307432328,1,1,E896-DED7-CBF4-94A8-9E76
465,5245-A998-85E4-7D8B-8DCD_2017-07-29 12:06:57,159542.0,7,5,7,1,1,2,2,7,5,1.1171468583889022,12,1,5,0,0,0,4,3,2,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,2,3601729.0,0,0,0,0,0,0,0,0,12,0.9575829553361084,1,18,5245-A998-85E4-7D8B-8DCD
466,D249-6894-7894-885A-73EF_2017-09-12 01:31:16,13048.0,4,5,1,3,1,1,1,1,5,1.270228125135549,0,0,24,0,0,0,0,1,3,3,0,4,5,0,0,0,0,0,0,0,0,1,0,1,1,2,3,10430360.0,0,0,0,0,0,0,0,0,0,0.9987505994211852,1,24,D249-6894-7894-885A-73EF
467,4C8D-33F4-9429-7BE4-73B2_2017-09-15 19:37:07,17088.0,2,2,1,2,1,1,1,1,2,0.4563344322932884,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,896842.0,0,0,0,0,0,0,0,0,0,0.9813027255916756,1,4,4C8D-33F4-9429-7BE4-73B2
468,82A5-F63B-F748-48C8-3C59_2017-06-27 16:23:30,3940.0,3,3,1,1,1,1,1,1,4,0.5442837329694393,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3771582.0,0,0,0,0,0,0,0,0,0,0.9989564356928656,1,5,82A5-F63B-F748-48C8-3C59
470,3D44-C453-7FA4-49A2-B8B8_2017-07-30 14:37:34,30063.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1822828.0,0,0,0,0,0,0,0,0,0,0.9837750844491122,1,1,3D44-C453-7FA4-49A2-B8B8
471,72BC-76A7-B48F-A8EB-C7FC_2017-07-29 19:51:08,3249.0,3,4,2,1,1,2,2,2,3,1.2326713884822265,27,0,2,0,0,2,8,4,1,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,3,0,4,4112004.0,0,0,0,0,27,0,0,0,0,0.9992104981151828,1,29,72BC-76A7-B48F-A8EB-C7FC
472,6BF5-5C6F-CC84-48FA-DF7E_2017-04-15 01:03:29,29869.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,748275.0,0,0,0,0,0,0,0,0,0,0.9616150738166714,1,1,6BF5-5C6F-CC84-48FA-DF7E
473,3274-F7F6-49E4-86E9-FCDD_2017-07-10 18:03:44,2295.0,2,3,2,1,1,2,2,2,3,0.4563344322932884,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,911430.0,0,0,0,0,0,0,1,0,0,0.9974883033735532,1,8,3274-F7F6-49E4-86E9-FCDD
474,A88A-7A25-6E4F-DE85-DA3E_2017-06-26 09:02:05,3975.0,1,1,1,1,1,1,1,1,2,0.4563344322932884,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,1478610.0,0,0,0,0,0,0,0,0,0,0.9973188721051408,1,9,A88A-7A25-6E4F-DE85-DA3E
475,438D-9A7F-CB7E-434C-A4F7_2017-04-22 19:40:15,990.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4987188.0,0,1,0,0,0,0,0,0,0,0.99980153073928,1,1,438D-9A7F-CB7E-434C-A4F7
476,57FF-8625-FA67-4FB7-A749_2017-06-03 14:39:47,129029.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249275.0,0,0,0,0,0,0,0,0,0,0.9063856739877416,1,1,57FF-8625-FA67-4FB7-A749
477,7B4F-5F5F-2743-FEAD-98F4_2017-10-30 11:38:22,822098.0,4,4,1,3,1,1,1,1,5,0.7214636866925115,0,1,7,1,0,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18614818.0,0,0,0,0,0,0,0,0,0,0.9577042983567968,0,8,7B4F-5F5F-2743-FEAD-98F4
478,6B33-239D-994D-787F-A667_2017-06-07 19:40:26,1486.0,2,3,1,1,1,1,1,1,18,1.5373561055718774,0,0,43,0,4,1,7,1,0,0,0,0,0,0,0,0,0,4,4,2,0,2,1,3,4,3,7,4162935.0,0,0,0,0,0,0,0,0,0,0.9996431676816536,1,43,6B33-239D-994D-787F-A667
480,4F95-25D5-6443-2C86-4F54_2017-10-26 03:08:41,99847.0,1,3,2,1,1,1,1,3,1,0.8151862107956462,14,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,1,0,0,0,5,0,0,1,0,0,0,2764712.0,0,0,0,14,0,0,0,0,0,0.9651440239143269,1,14,4F95-25D5-6443-2C86-4F54
482,CB6F-728A-B442-7C94-5798_2017-04-30 12:23:01,143389.0,1,1,1,1,1,1,1,1,1,0.3445982481028228,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5616081.0,0,0,0,0,0,0,0,0,0,0.9751037855913826,1,3,CB6F-728A-B442-7C94-5798
483,D2DA-EA5C-C848-A5A7-76E9_2017-08-08 18:27:45,3639.0,1,1,1,2,1,1,1,1,1,0.2868359830561607,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2366323.0,0,0,0,0,0,0,0,0,0,0.9984645323427128,1,2,D2DA-EA5C-C848-A5A7-76E9
484,CDE4-4BEC-B6F4-29C8-6A7F_2017-10-19 04:06:53,20387.0,5,4,3,3,1,2,2,10,5,1.3481959185755503,55,0,7,3,0,0,3,8,2,6,0,0,0,0,1,0,0,0,0,3,0,0,0,7,29,0,0,16980016.0,0,0,0,55,0,0,0,0,0,0.9988007931341392,1,62,CDE4-4BEC-B6F4-29C8-6A7F
485,54CB-768D-3664-27BF-2C26_2017-05-25 05:00:53,1800.0,4,5,1,1,1,1,1,1,8,0.9365995187176586,0,0,12,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,12094328.0,0,0,0,0,0,0,0,0,0,0.9998511920508778,1,12,54CB-768D-3664-27BF-2C26
488,EEAE-583E-D2C4-854A-DCFB_2017-10-14 02:51:46,1802.0,5,4,3,2,1,3,3,3,4,1.8749540125305355,2069,0,21,1,0,177,176,177,186,180,118,1,0,0,0,0,1,0,0,0,12,177,177,178,176,176,177,1418689.0,0,0,0,2068,0,0,1,0,0,0.99873142455672,1,2090,EEAE-583E-D2C4-854A-DCFB
490,A894-5BA6-4B3F-86F5-5A92_2017-09-03 22:11:59,3512.0,4,3,3,1,1,3,1,11,1,1.1531071174453746,20,0,0,1,0,0,0,0,0,4,2,0,1,0,0,2,1,0,0,0,3,0,3,3,0,0,0,1268963.0,0,1,0,18,0,0,0,0,1,0.9972400243619718,0,20,A894-5BA6-4B3F-86F5-5A92
491,6294-F4BF-2C4E-D899-35F5_2017-10-31 00:34:57,203670.0,2,2,2,2,1,2,2,2,2,0.2868359830561607,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4838539.0,0,0,0,0,0,0,0,0,1,0.9596069897142304,1,2,6294-F4BF-2C4E-D899-35F5
492,764C-C6FA-5FC4-72FB-99D5_2017-10-30 02:48:09,1535.0,4,2,2,3,1,2,2,2,4,0.5442837329694393,3,0,3,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6831521.0,0,0,0,3,0,0,0,0,0,0.9997753567364296,1,6,764C-C6FA-5FC4-72FB-99D5
493,9CEB-2996-E846-CAA6-78B4_2017-04-23 01:42:58,1989.0,3,6,2,1,1,2,2,2,3,1.3639506492386837,47,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,9,12,5,1,2,1201076.0,0,0,0,0,47,0,0,0,0,0.9983467227456538,1,51,9CEB-2996-E846-CAA6-78B4
494,D43A-B999-DDB4-B648-88D9_2017-09-05 11:58:15,28697.0,6,5,2,3,1,2,2,2,15,1.643904952343887,1,0,43,2,0,3,1,1,2,0,2,1,0,1,0,0,2,3,0,2,0,0,1,1,6,4,12,5990427.0,0,0,0,1,0,0,0,0,0,0.9952323627159037,1,44,D43A-B999-DDB4-B648-88D9
495,835D-92F2-B24B-73B4-F9CA_2017-09-10 02:58:59,2984.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899582.0,0,0,0,0,0,0,0,0,0,0.9966938705867492,1,3,835D-92F2-B24B-73B4-F9CA
496,6AB6-866F-C284-EBBE-6778_2017-11-05 23:25:22,2350.0,2,3,2,1,1,2,2,3,1,0.8151862107956462,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,3,0,4,924459.0,0,9,0,5,0,0,0,0,0,0.9974644182350408,1,14,6AB6-866F-C284-EBBE-6778
499,23B7-82D7-5846-3294-FBAB_2017-08-11 22:02:37,14531.0,2,1,1,2,1,1,1,1,3,0.5442837329694393,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,786668.0,0,0,0,0,0,0,0,0,0,0.9818634321810188,1,5,23B7-82D7-5846-3294-FBAB
500,56D8-DFAE-4A49-F6AD-5334_2017-07-28 14:26:49,61138.0,2,1,1,1,1,1,1,1,7,1.0924606245219648,0,0,19,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,4,0,2,663176.0,0,0,0,0,0,0,0,0,0,0.9155918565704928,1,19,56D8-DFAE-4A49-F6AD-5334
501,E949-5693-A974-F8B4-F77C_2017-08-25 05:08:06,8354.0,2,2,1,1,1,1,1,1,2,0.4563344322932884,0,0,5,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4919029.0,0,0,0,0,0,0,0,0,0,0.9983045766890862,1,5,E949-5693-A974-F8B4-F77C
503,829B-B227-DBCF-4D6C-A945_2017-06-08 05:07:57,11689.0,1,1,1,1,1,1,1,1,1,0.1732052067491771,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8726797.0,0,0,0,0,0,0,0,0,0,0.9986623540965792,1,1,829B-B227-DBCF-4D6C-A945
505,BD52-87B3-EFD4-DBCB-2546_2017-10-31 05:51:46,15478.0,2,1,2,2,1,2,2,2,2,0.2868359830561607,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687487.0,0,0,0,1,0,0,0,0,0,0.9779818340884682,1,2,BD52-87B3-EFD4-DBCB-2546
507,9788-39EF-F4D2-6A6B-D678_2017-07-07 00:17:35,28868.0,4,3,3,1,1,2,3,3,17,1.8967560185207248,2,0,59,0,3,0,2,3,6,8,7,0,0,0,0,1,0,0,1,1,1,9,4,6,4,4,1,10848128.0,0,0,0,0,0,0,0,0,2,0.9973459583877754,1,61,9788-39EF-F4D2-6A6B-D678
508,EEAE-583E-D2C4-854A-DCFB_2017-09-13 07:08:07,4298.0,5,5,3,3,1,3,2,3,4,0.8823830530748152,2,2,9,0,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,1549732.0,0,0,0,1,0,1,0,0,0,0.997234287626365,1,13,EEAE-583E-D2C4-854A-DCFB
510,573E-8FF5-E429-CAC6-89D9_2017-07-19 03:42:03,40444.0,5,2,2,1,1,2,2,2,5,2.162556836233132,1,1,254,8,3,2,5,1,2,2,8,6,3,2,6,9,156,20,7,8,2,0,1,0,2,2,1,9395252.0,0,1,0,0,0,0,0,0,0,0.9957137237147106,0,256,573E-8FF5-E429-CAC6-89D9
511,EC98-FAFC-D348-6CAA-464B_2017-07-27 01:55:48,1884.0,8,9,3,1,1,3,2,3,28,1.9657923087569216,3,0,105,0,10,13,9,1,7,0,0,0,0,0,0,5,0,0,0,3,2,2,2,5,11,19,19,6301178.0,0,0,0,0,0,1,0,0,2,0.99970109765698,1,108,EC98-FAFC-D348-6CAA-464B
513,3649-E39D-C222-4FD5-BE73_2017-07-16 18:58:11,2804773.0,4,5,1,1,1,1,1,1,10,1.8967560185207248,0,0,70,3,1,7,3,5,0,2,2,2,2,0,0,5,2,3,7,4,5,5,4,1,4,0,3,3843917.0,0,0,0,0,0,0,0,0,0,0.5781465220968341,1,70,3649-E39D-C222-4FD5-BE73
514,9976-98F8-A843-3988-C569_2017-08-01 10:18:34,391407.0,3,4,2,1,2,2,2,2,4,0.7356219397587946,6,0,3,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,298739.0,0,0,0,0,6,0,0,0,0,0.4328634810605293,1,9,9976-98F8-A843-3988-C569
515,D6F2-4CA7-A524-887B-62D4_2017-10-31 08:02:35,14113.0,6,6,7,3,1,3,3,7,4,0.97610557717795,29,0,4,0,0,0,1,7,17,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,9232514.0,0,0,0,28,0,0,0,0,1,0.998473713712038,1,33,D6F2-4CA7-A524-887B-62D4
516,9CEB-2996-E846-CAA6-78B4_2017-10-03 09:00:21,47065.0,3,5,8,2,1,3,2,4,2,0.8947504818324978,27,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,10,2,0,946767.0,0,0,0,10,17,0,0,0,0,0.9526429014159334,1,28,9CEB-2996-E846-CAA6-78B4
518,C9DE-7BC5-5C4D-5999-95F9_2017-09-22 13:04:39,4116.0,4,3,3,2,1,3,2,3,5,0.961285752584596,2,0,41,0,0,0,9,0,1,0,0,0,9,0,0,0,1,0,4,9,0,1,9,0,0,0,0,784581.0,0,0,0,1,0,1,0,0,0,0.9947812658093032,1,43,C9DE-7BC5-5C4D-5999-95F9
